"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G08080",0,1.37440888030542,0.156,0.003,0,"AT1G08080"
"AT5G10520",3.93637781440954e-109,0.401618522218848,0.112,0.007,6.21947694676708e-105,"AT5G10520"
"AT5G26170",3.29098578761663e-102,0.305405802889297,0.109,0.007,5.19975754443428e-98,"AT5G26170"
"AT2G16890",4.52188594281321e-154,0.629736184684531,0.159,0.01,7.14457978964487e-150,"AT2G16890"
"AT5G02640",5.0878029050989e-93,0.364463433748157,0.121,0.01,8.03872859005626e-89,"AT5G02640"
"AT1G75040",2.27576050219773e-62,0.533418220176674,0.103,0.01,3.59570159347242e-58,"AT1G75040"
"AT1G13520",2.93073829931673e-105,0.895438171846035,0.142,0.011,4.63056651292043e-101,"AT1G13520"
"AT1G63730",1.43788100386586e-226,0.469735233563306,0.209,0.012,2.27185198610806e-222,"AT1G63730"
"AT1G02360",1.93464400258538e-84,0.358038487110598,0.136,0.013,3.0567375240849e-80,"AT1G02360"
"AT1G64405",6.81977980538087e-256,1.17176098925008,0.239,0.014,1.07752520925018e-251,"AT1G64405"
"AT1G23830",5.55758868737562e-81,0.277093662752552,0.145,0.015,8.78099012605348e-77,"AT1G23830"
"AT2G16380",6.8272125501744e-69,0.25182738533025,0.133,0.015,1.07869958292755e-64,"AT2G16380"
"AT5G13080",1.55333615545693e-61,0.35283914917402,0.127,0.015,2.45427112562195e-57,"AT5G13080"
"AT1G22470",0,1.88171777091678,0.484,0.017,0,"AT1G22470"
"AT4G08040",6.30825545064365e-67,0.393329654773169,0.139,0.017,9.96704361201696e-63,"AT4G08040"
"AT1G72140",1.76344770844052e-50,0.315820379831535,0.124,0.017,2.78624737933602e-46,"AT1G72140"
"AT5G49680",3.54442390664682e-80,0.269750154075941,0.156,0.018,5.60018977250198e-76,"AT5G49680"
"AT3G16430",6.24946833944663e-48,1.18424243186419,0.124,0.018,9.87415997632567e-44,"AT3G16430"
"AT1G66860",4.43626235945611e-77,0.410447087733827,0.159,0.019,7.00929452794065e-73,"AT1G66860"
"AT1G62420",2.21943713033932e-29,0.262714329677983,0.103,0.019,3.50671066593613e-25,"AT1G62420"
"AT1G75880",1.66921459544662e-101,0.363991341432297,0.186,0.02,2.63735906080566e-97,"AT1G75880"
"AT5G46240",4.29485990051569e-85,0.422634790590162,0.171,0.02,6.78587864281479e-81,"AT5G46240"
"AT1G47510",1.59595841690377e-37,0.351924576395463,0.118,0.02,2.52161429870795e-33,"AT1G47510"
"AT5G66400",2.83806872165664e-76,1.79149765826481,0.168,0.021,4.4841485802175e-72,"AT5G66400"
"AT1G13340",1.21824495199179e-73,0.559482159211622,0.168,0.022,1.92482702414702e-69,"AT1G13340"
"AT5G66790",6.8237327434665e-59,0.254014822858704,0.153,0.022,1.07814977346771e-54,"AT5G66790"
"AT2G31940",2.64149652612021e-36,0.298702457953349,0.124,0.022,4.17356451126993e-32,"AT2G31940"
"AT2G45360",1.52851531662464e-100,0.555388963584723,0.201,0.023,2.41505420026693e-96,"AT2G45360"
"AT2G46150",1.91284816685058e-77,0.634946806572964,0.174,0.023,3.02230010362391e-73,"AT2G46150"
"AT2G18660",1.24566804017704e-133,0.582186967664259,0.233,0.024,1.96815550347972e-129,"AT2G18660"
"AT5G53030",3.24456254824363e-123,0.426630232830149,0.221,0.024,5.12640882622493e-119,"AT5G53030"
"AT3G14880",3.64688082134271e-88,0.465072855316059,0.192,0.024,5.76207169772148e-84,"AT3G14880"
"AT5G24390",5.6338545661778e-70,0.283242104055185,0.171,0.024,8.90149021456093e-66,"AT5G24390"
"AT4G02075",4.77618081573314e-67,0.440498771197543,0.168,0.024,7.54636568885837e-63,"AT4G02075"
"AT1G63030",1.74857435604389e-66,0.582905669167492,0.168,0.024,2.76274748254935e-62,"AT1G63030"
"AT3G56060",2.15322934615141e-114,0.468858325318365,0.218,0.025,3.40210236691922e-110,"AT3G56060"
"AT1G45201",4.62751502832309e-105,1.09760704877738,0.215,0.025,7.31147374475048e-101,"AT1G45201"
"AT1G29290",9.89515597887283e-100,1.03202749098769,0.212,0.026,1.56343464466191e-95,"AT1G29290"
"AT5G43980",1.09169137964369e-63,0.318899160859964,0.174,0.026,1.72487237983703e-59,"AT5G43980"
"AT1G11410",3.95554682388634e-61,0.275685008076267,0.171,0.026,6.24976398174042e-57,"AT1G11410"
"AT3G62780",2.11266469893387e-25,0.298254320441259,0.115,0.026,3.33801022431552e-21,"AT3G62780"
"AT4G01700",1.24209129589183e-22,0.338320780452237,0.112,0.026,1.9625042475091e-18,"AT4G01700"
"AT3G20470",7.59841131301508e-70,0.981930014161565,0.183,0.027,1.20054898745638e-65,"AT3G20470"
"AT4G12090",8.66235541195492e-29,0.264474394643578,0.127,0.027,1.36865215508888e-24,"AT4G12090"
"AT3G48240",1.56925064528385e-28,0.320516300700686,0.124,0.027,2.47941601954848e-24,"AT3G48240"
"AT5G22270",0,1.26215351571262,0.41,0.028,0,"AT5G22270"
"AT5G28646",1.80280025899322e-59,0.652715548095365,0.174,0.028,2.84842440920929e-55,"AT5G28646"
"AT3G62570",7.36848378841019e-45,0.266901251274751,0.153,0.028,1.16422043856881e-40,"AT3G62570"
"AT1G36060",4.81820593111993e-142,0.740722844854394,0.263,0.029,7.61276537116948e-138,"AT1G36060"
"AT1G19940",6.23413740550874e-71,0.320285766688522,0.192,0.029,9.84993710070381e-67,"AT1G19940"
